,year,mortgage_rate,country,affordability,population,avg_inflation_rate,SalesVolume,NewSalesVolume,OldSalesVolume
0,2001.0,72.61666666666667,E,4.5,49449746,1.2333333333333334,1074.957335,101.7290419,973.2282934
1,2001.0,72.61666666666667,W,3.33,2910232,1.2333333333333334,425.7608696,45.06521739,380.6956522
2,2002.0,72.64166666666667,E,5.12,49679267,1.2583333333333333,1163.332585,109.5239521,1053.808633
3,2002.0,72.64166666666667,W,3.71,2922876,1.2583333333333333,478.9565217,46.97826087,431.9782609
4,2003.0,72.77499999999999,E,5.93,49925517,1.3583333333333334,1079.811377,106.5503992,973.260978
5,2003.0,72.77499999999999,W,4.31,2937721,1.3583333333333334,460.7463768,43.65217391,417.0942029
6,2004.0,72.93333333333332,E,6.6,50194600,1.35,1099.092315,107.9074351,991.1848802
7,2004.0,72.93333333333332,W,5.43,2957422,1.35,415.4202899,41.8115942,373.6086957
8,2005.0,72.95833333333333,E,6.79,50606034,2.0416666666666665,919.876996,107.8253493,812.0516467
9,2005.0,72.95833333333333,W,6.01,2969309,2.0416666666666665,341.7318841,36.74637681,304.9855072
10,2006.0,72.825,E,6.95,50965186,2.316666666666667,1150.791667,120.3028942,1030.488772
11,2006.0,72.825,W,6.25,2985668,2.316666666666667,427.9637681,39.2173913,388.7463768
12,2007.0,72.65833333333333,E,7.15,51381093,2.341666666666667,1104.840319,89.51521956,1015.3251
13,2007.0,72.65833333333333,W,6.59,3006299,2.341666666666667,414.2463768,23.47101449,390.7753623
14,2008.0,72.69999999999999,E,6.97,51815853,3.608333333333333,560.1482036,66.58008982,493.5681138
15,2008.0,72.69999999999999,W,6.32,3025867,3.608333333333333,221.5652174,23.44927536,198.115942
16,2009.0,71.05833333333335,E,6.4,52196381,2.183333333333333,542.4610778,57.59530938,484.8657685
17,2009.0,71.05833333333335,W,5.7,3038872,2.183333333333333,206.9347826,26.00724638,180.9275362
18,2010.0,70.41666666666667,E,6.85,52642452,3.3083333333333336,578.5721058,52.26122754,526.3108782
19,2010.0,70.41666666666667,W,5.82,3049971,3.3083333333333336,220.8188406,21.33333333,199.4855072
20,2011.0,70.33333333333334,E,6.8,53107169,4.4750000000000005,577.38498,51.97854291,525.4064371
21,2011.0,70.33333333333334,W,5.6,3063758,4.4750000000000005,219.4565217,22.47826087,196.9782609
22,2012.0,70.825,E,6.77,53493729,2.841666666666667,586.0995509,57.20983034,528.8897206
23,2012.0,70.825,W,5.63,3074067,2.841666666666667,220.1449275,22.47101449,197.673913
24,2013.0,71.44166666666666,E,6.76,53865817,2.566666666666667,702.0184631,67.43537924,634.5830838
25,2013.0,71.44166666666666,W,5.54,3082412,2.566666666666667,265.3043478,23.85507246,241.4492754
26,2014.0,72.68333333333332,E,7.09,54316618,1.4583333333333333,831.1452096,77.19710579,753.9481038
27,2014.0,72.68333333333332,W,5.64,3092036,1.4583333333333333,316.0362319,27.57246377,288.4637681
28,2015.0,73.475,E,7.52,54786327,0.0416666666666666,824.5242016,83.37674651,741.1823852
29,2015.0,73.475,W,5.75,3099086,0.0416666666666666,321.8623188,29.49275362,292.3695652
30,2016.0,74.18333333333331,E,7.72,55268067,0.6749999999999999,818.3862275,89.29324727,729.1846307
31,2016.0,74.18333333333331,W,5.82,3113150,0.6749999999999999,335.923913,28.40362319,307.6123188
32,2017.0,74.75833333333333,E,7.91,55619430,2.6833333333333336,805.7766966,95.69052436,710.1746507
33,2017.0,74.75833333333333,W,5.76,3125165,2.6833333333333336,355.3768116,29.42248573,326.1123188
34,2018.0,75.30833333333332,E,8.04,55977178,2.4833333333333334,777.117016,100.3905961,676.7799401
35,2018.0,75.30833333333332,W,5.92,3138631,2.4833333333333334,351.0471014,28.52395069,322.6702899
36,2019.0,75.79166666666667,E,7.88,56286961,1.7916666666666667,750.7507485,99.30643108,651.4525948
37,2019.0,75.79166666666667,W,5.83,3152879,1.7916666666666667,339.7101449,27.37779974,312.384058
38,2020.0,75.19166666666668,E,7.86,56550138,0.85,631.8393214,61.30638723,570.5329341
39,2020.0,75.19166666666668,W,5.85,3169586,0.85,259.3405797,12.99275362,246.3478261
